id,block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
13,"ACCT I S 100",16349,3543,2106,4949,1958,2719,689,185,BC
14,"ACCT I S 211",10746,2377,1399,3672,1002,1677,356,77,BC
15,"ACCT I S 300",6777,1850,1908,1528,768,395,148,69,B
16,"ACCT I S 301",7191,1843,1935,2085,725,398,80,17,B
17,"ACCT I S 302",2437,652,436,965,226,110,19,2,B
18,"ACCT I S 310",2477,901,571,696,163,97,31,6,B
19,"ACCT I S/LAW 329",988,269,251,195,140,72,17,12,B
20,"ACCT I S 340",2718,675,809,923,235,70,3,2,B
21,"ACCT I S 399",0,0,0,0,0,0,0,0,N/A
22,"ACCT I S 406",1260,361,222,497,86,77,4,0,B
23,"ACCT I S 600",1219,1102,96,19,0,1,0,0,A
24,"ACCT I S 601",1223,686,402,126,6,0,0,0,A
25,"ACCT I S 603",2099,977,640,444,19,2,0,0,A
26,"ACCT I S 620",2324,629,609,662,269,108,18,8,B
27,"ACCT I S 621",1352,417,333,403,140,46,4,2,B
28,"ACCT I S 630",2633,918,657,835,140,60,11,3,B
29,"ACCT I S 640",152,132,16,1,3,0,0,0,A
30,"ACCT I S 700",2787,1231,1189,335,19,8,1,2,A
31,"ACCT I S 701",95,37,29,20,6,2,1,0,B
32,"ACCT I S 702",58,26,8,18,5,1,0,0,B
33,"ACCT I S 706",1123,469,249,363,31,8,0,0,A
34,"ACCT I S 710",1243,822,254,140,16,5,0,0,A
35,"ACCT I S 722",406,164,100,118,19,3,0,0,B
36,"ACCT I S 724",450,435,14,1,0,0,0,0,A
37,"ACCT I S 725",276,140,80,47,6,2,0,0,A
38,"ACCT I S 726",178,149,24,4,0,0,0,0,A
39,"ACCT I S 730",318,201,62,49,1,0,0,0,A
40,"ACCT I S 740",160,98,42,20,0,0,0,0,A
41,"ACCT I S 765",1035,405,375,101,5,2,0,0,A
42,"ACCT I S 770",1183,685,355,121,16,5,1,0,A
43,"ACCT I S 771",598,492,68,32,3,1,0,0,A
44,"ACCT I S 772",359,165,116,69,7,1,0,0,A
45,"ACCT I S/E P D/GEN BUS 781",13,10,3,0,0,0,0,0,A
46,"ACCT I S 799",9,9,0,0,0,0,0,0,A
47,"ACCT I S 971",88,54,8,4,0,0,0,0,A
48,"ACCT I S 990",6,0,0,0,0,0,0,0,N/A
49,"ACCT I S 999",12,12,0,0,0,0,0,0,A
50,"ACT SCI 300",1414,1222,77,43,13,2,0,1,A
51,"ACT SCI 301",1717,1494,89,49,16,14,0,0,A
